player,salary
"Sergei Bobrovsky, G, FLA","$12,000,000"
"Andrei Vasilevskiy, G, TBL","$11,000,000"
"John Gibson, G, ANA","$6,400,000"
"Matt Murray, G, TOR","$7,000,000"
"Connor Hellebuyck, G, WPG","$4,500,000"
"Jordan Binnington, G, STL","$6,000,000"
"Jonathan Quick, G, VGK","$2,500,000"
"Igor Shesterkin, G, NYR","$6,000,000"
"Elvis Merzlikins, G, CBJ","$5,250,000"
"Darcy Kuemper, G, WSH","$6,000,000"
"Linus Ullmark, G, BOS","$6,000,000"
"Thatcher Demko, G, VAN","$4,500,000"
"Jack Campbell, G, EDM","$5,500,000"
"Semyon Varlamov, G, NYI","$4,000,000"
"Juuse Saros, G, NSH","$5,000,000"
"Cal Petersen, G, LAK","$4,000,000"
"Ville Husso, G, DET","$4,750,000"
"Frederik Andersen, G, CAR","$5,000,000"
"Jake Oettinger, G, DAL","$2,400,000"
"Ilya Sorokin, G, NYI","$4,000,000"
"Carter Hart, G, PHI","$3,979,000"
"Cam Talbot, G, OTT","$3,000,000"
"Tristan Jarry, G, PIT","$4,500,000"
"Alexandar Georgiev, G, COL","$3,600,000"
"Vitek Vanecek, G, NJD","$3,550,000"
"Anton Khudobin, G, CHI","$3,750,000"
"Alex Nedeljkovic, G, DET","$3,500,000"
"Jake Allen, G, MTL","$3,750,000"
"Mackenzie Blackwood, G, NJD","$4,125,000"
"Anton Forsberg, G, OTT","$2,550,000"
"Karel Vejmelka, G, ARI","$2,250,000"
"Laurent Brossoit, G, VGK","$3,000,000"
"James Reimer, G, SJS","$2,750,000"
"Adin Hill, G, VGK","$2,675,000"
"Antti Raanta, G, CAR","$2,250,000"
"Pavel Francouz, G, COL","$2,250,000"
"Casey DeSmith, G, PIT","$1,700,000"
"Ilya Samsonov, G, TOR","$1,800,000"
"Eric Comrie, G, BUF","$1,800,000"
"Craig Anderson, G, BUF","$1,500,000"
"Kevin Lankinen, G, NSH","$1,500,000"
"Joonas Korpisalo, G, LAK","$1,300,000"
"Thomas Greiss, G, STL","$1,250,000"
"Charlie Lindgren, G, WSH","$1,200,000"
"Daniil Tarasov, G, CBJ","$750,000"
"Scott Wedgewood, G, DAL","$1,000,000"
"Anthony Stolarz, G, ANA","$950,000"
"Yaroslav Askarov, G, NSH","$925,000"
"Spencer Knight, G, FLA","$925,000"
"Jeremy Swayman, G, BOS","$925,000"
"Devon Levi, G, BUF","$925,000"
"Brian Elliott, G, TBL","$900,000"
"David Rittich, G, WPG","$900,000"
"Cayden Primeau, G, MTL","$770,000"
"Jaxson Stauber, G, CHI","$842,500"
"Justus Annunen, G, COL","$925,000"
"Samuel Ersson, G, PHI","$842,500"
"Akira Schmid, G, NJD","$842,500"
"Pyotr Kochetkov, G, CAR","$842,500"
"Ukko-Pekka Luukkonen, G, BUF","$750,000"
"Kevin Mandolese, G, OTT","$885,000"
"Pheonix Copley, G, LAK","$825,000"
"Lukas Dostal, G, ANA","$832,500"
"Dustin Wolf, G, CGY","$835,000"
"Jiri Patera, G, VGK","$817,500"
"Joel Hofer, G, STL","$750,000"
"Filip Gustavsson, G, MIN","$825,000"
"Arturs Silovs, G, VAN","$750,000"
"Dustin Tokarski, G, PIT","$775,000"
"Aaron Dell, G, SJS","$775,000"
"Joseph Woll, G, TOR","$750,000"
"Logan Thompson, G, VGK","$750,000"
"Spencer Martin, G, VAN","$750,000"
"Jet Greaves, G, CBJ","$750,000"
"Magnus Hellberg, G, DET","$750,000"
"Matt Murray, G, DAL","$750,000"
"Ivan Prosvetov, G, ARI","$750,000"
"Alex Stalock, G, CHI","$750,000"
"Jon Gillies, G, CBJ","$750,000"
"Dylan Ferguson, G, OTT","$750,000"
"Michael Hutchinson, G, CBJ","$750,000"
"Jonas Johansson, G, COL","$750,000"
"Stuart Skinner, G, EDM","$750,000"
"Keith Kinkaid, G, COL","$750,000"
"Olle Eriksson Ek, G, ANA","$750,000"
"Collin Delia, G, VAN","$750,000"
"Alex Lyon, G, FLA","$750,000"
"Connor Ingram, G, ARI","$750,000"
